unit_id,target,model,metric,value
30,target_import,flowstate,rmse,141.56534903314088
30,target_import,flowstate,mape,18.601905822753906
30,target_import,flowstate,smape,14.610336303710938
31,target_export,flowstate,mae,35.87211990356445
31,target_export,flowstate,mse,2946.2412109375
31,target_export,flowstate,rmse,54.279288968606615
31,target_export,flowstate,mape,99.24630737304688
31,target_export,flowstate,smape,99.50215911865234
31,target_import,flowstate,mae,7.2012152671813965
31,target_import,flowstate,mse,77.90351104736328
31,target_import,flowstate,rmse,8.826296564661947
31,target_import,flowstate,mape,80.42306518554688
31,target_import,flowstate,smape,48.713348388671875
32,target_export,flowstate,mae,93.87789154052734
32,target_export,flowstate,mse,20128.53125
32,target_export,flowstate,rmse,141.8750550660686
32,target_export,flowstate,mape,82.00885772705078
32,target_export,flowstate,smape,83.6679916381836
32,target_import,flowstate,mae,11.467780113220215
32,target_import,flowstate,mse,206.5006561279297
32,target_import,flowstate,rmse,14.370130692792243
32,target_import,flowstate,mape,33.42066955566406
32,target_import,flowstate,smape,31.185028076171875
33,target_export,flowstate,mae,539.8193969726562
33,target_export,flowstate,mse,665467.1875
33,target_export,flowstate,rmse,815.7617222571797
33,target_export,flowstate,mape,432.89923095703125
33,target_export,flowstate,smape,162.155517578125
33,target_import,flowstate,mae,80.74698638916016
33,target_import,flowstate,mse,12162.25
33,target_import,flowstate,rmse,110.28259155460576
33,target_import,flowstate,mape,50.41804885864258
33,target_import,flowstate,smape,30.174823760986328
34,target_export,flowstate,mae,29.6859188079834
34,target_export,flowstate,mse,2120.506591796875
34,target_export,flowstate,rmse,46.04895863965737
34,target_export,flowstate,mape,131.1140899658203
34,target_export,flowstate,smape,72.06917572021484
34,target_import,flowstate,mae,8.971756935119629
34,target_import,flowstate,mse,135.309326171875
34,target_import,flowstate,rmse,11.632253701320092
34,target_import,flowstate,mape,45.93623733520508
34,target_import,flowstate,smape,35.54878234863281
35,target_export,flowstate,mae,100.0317153930664
35,target_export,flowstate,mse,21110.787109375
35,target_export,flowstate,rmse,145.2955164806368
35,target_export,flowstate,mape,34.625579833984375
35,target_export,flowstate,smape,45.239646911621094
35,target_import,flowstate,mae,22.534975051879883
35,target_import,flowstate,mse,830.2619018554688
35,target_import,flowstate,rmse,28.81426559632344
35,target_import,flowstate,mape,29.73093605041504
35,target_import,flowstate,smape,28.08479881286621
36,target_export,flowstate,mae,21.353492736816406
36,target_export,flowstate,mse,1159.6201171875
36,target_export,flowstate,rmse,34.05319540347866
36,target_export,flowstate,mape,459.1669921875
36,target_export,flowstate,smape,98.56078338623047
36,target_import,flowstate,mae,11.283516883850098
